jogador,gols
Fred,158
Romário,137
Diego Souza,130
Edmundo,125
Gabriel Barbosa,117
Luís Fabiano,115
Wellington Paulista,109
Paulo Baier,107
Washington,102
Alecsandro,101
Borges,99
Rafael Moura,95
Dodô,89
Deivid,87
Dejan Petkovic,83
Roger Silva,82
Pedro,82
Ricardo Oliveira,82
Gilberto,81
Kléber Pereira,81
Luciano,80
Souza,79
Alex Mineiro,77
André Felipe,77
Alex,76
Ramon Menezes,76
André Lima,75
Obina,74
Edílson,73
Robinho,72
Rafael Sóbis,72
Dagoberto,71
Giorgian de Arrascaeta,70
Marcelinho Carioca,70
Willian Bigode,70
Diego Tardelli,70
Tuta,70
Christian,70
Cícero,69
Bruno Henrique,68
Eduardo Sasha,67
Jô,66
Guilherme Alves,66
Viola,65
Fábio Júnior,64
Rogério Ceni,64
Marcinho,61
Thiago Neves,60
Hulk,60
Germán Cano,59
Leandro Damião,58
Yuri Alberto,58
Alex Dias,58
Dimba,58
Dudu,57
Raphael Veiga,57
Neymar,57
Kléber,57
Marinho,56
Paolo Guerrero,56
Oséas,56
Hugo,55
William,55
Fernandão,55
Renaldo,55
Jádson,54
Iarley,53
Luizão,53
Marques,52
Ronaldinho,51
Jonas,51
Everton Ribeiro,50
Nenê,50
Felipe,50
Guilherme,50
Renato Abreu,50
Pablo,50
Vágner Love,50
Diego,48
Deyverson,48
Thiago Ribeiro,47
Alex,47
Ricardinho,47
Valdir Bigode,47
Nilmar,47
Alex Alves,47
Elano,46
Marcelo Ramos,46
Thiago Galhardo,46
Kieza,45
Henrique Dourado,45
Wagner,44
Everton,44
Felipe Azevedo,44
Leandro Amaral,44
Emerson,44
Grafite,44
Marcel,44
Finazzi,44
Marcelinho Paraíba,43
Lúcio Flávio,43
Éder Luís,43
Yago Pikachu,43
Everaldo,43
Víctor Aristizábal,43
Marquinhos,42
França,42
Rony,42
Alexandre Pato,42
Róger Guedes,42
Andrés D'Alessandro,41
Keno,41
Magno Alves,41
Liedson,41
Henrique Almeida,40
Jonathan Calleri,40
Robgol,40
Gustavo Scarpa,39
Alan Patrick,39
Euller,39
Roni,39
Paulo Nunes,39
Reinaldo,38
Vina,38
Hernán Barcos,38
Reinaldo,38
Robinho,37
Juninho Pernambucano,37
Edenilson,37
Danilo,37
Vitinho,37
Rodriguinho,37
Bruno Henrique,37
Dinei,37
Rodrigo Fabri,37
Darío Conca,36
Fábio Santos,36
Reinaldo Oliveira,36
Aloísio,36
Washington,36
Fabrício Carvalho,36
Douglas,35
Luan,35
Marcos Aurélio,35
Zé Roberto,35
Marcos Leonardo,35
Keirrison,35
Pedro Raul,35
Ganso,34
Souza,34
Walter,34
Pedrinho,34
Réver,34
Robson,34
Marcelo Moreno,34
Lúcio,34
Araújo,34
Basílio,34
Léo Moura,33
Artur,33
Elias,33
Leonardo,33
Alerrandro,33
Leonardo Silva,33
Rodrigo Tabata,33
Pablo Vegetti,33
Nikão,32
Hernanes,32
Carlinhos Bala,32
Müller,32
Leandro,32
Adriano Gabirú,32
Anderson Lima,32
Fernandão,32
Cláudio Pitbull,32
Jorge Wagner,31
Juninho Paulista,31
Lucas Moura,31
Alan Kardec,31
Lucca,31
Roger Flores,31
Erik,31
Carlos Alberto,31
Gil,31
Renato Kayzer,31
Kelly Guimarães,31
Paulinho,31
Lima,31
Juan,30
Clayson,30
Germán Herrera,30
Ángel Romero,30
Arthur Caíke,30
Leonardo,30
Da Silva,30
Bruno Mineiro,30
Schwenck,30
Rinaldo,30
Éverton,29
Giuliano,29
Marcelo Cirino,29
Tiquinho Soares,29
Kempes,29
Élton,29
Leandro Pereira,29
Josiel,29
Walter Montillo,28
Tcheco,28
David,28
Neilton,28
Michael,28
Vitor Bueno,28
Antônio Carlos,28
Gabriel,28
Somália,28
Rodrigão,28
Osvaldo,27
Andrezinho,27
Gabriel,27
Ricardo Goulart,27
Alexandre,27
Fabiano,27
Enílton,27
Adriano,27
Luan,26
Juan Cazares,26
Fernandinho,26
Elkeson,26
Evair,26
Michel Bastos,26
Eduardo Vargas,26
Stiven Mendoza,26
William Pottker,26
Alisson,25
Jorge Henrique,25
Wallyson,25
Jean,25
Marquinhos Gabriel,25
Kaká,25
Ademir,25
Lucas Pratto,25
Éderson,25
Luiz Fernando,25
Hernane,25
Carlos Tevez,25
Sebastián Abreu,25
Sassá,25
Cleiton Xavier,24
Marquinhos,24
Patrick,24
Ibson,24
Jefferson Savarino,24
Leandro Domingues,24
Gilberto,24
Rogério,24
Lima,24
Rogério,24
Ilan,24
Lopes,24
Jhon Arias,23
Marcos Assunção,23
Maikon Leite,23
Fábio Baiano,23
Zinho,23
Helinho,23
Nilton,23
Morais,23
Breno Lopes,23
Isidro Pitta,23
Alessandro Cambalhota,23
Warley,23
Edigar Junio,23
Túlio Maravilha,23
Chicão,23
Índio,23
José Manuel López,23
Jean,23
Carlos Sánchez,22
Ytalo,22
Edno,22
David Ferreira,22
Wesley,22
Zé Love,22
Kaio Jorge,22
Romerito,22
Luiz Adriano,22
Ricardo Bueno,22
Alan Bahia,22
Bruno Rangel,22
Pedro Oldoni,22
Lucas Lima,21
Zé Rafael,21
Kléberson,21
Rafael Marques,21
Gustavo Nery,21
Élber,21
Mauricio,21
Thaciano,21
Paulinho,21
Maxi López,21
Jackson,21
Fumagalli,21
Vitor Roque,21
Caio Ribeiro,21
Juninho,21
Zé Carlos,21
Wágner,21
Val Baiano,21
Fernando Baiano,21
Renato,20
Hyoran,20
Pedro Rocha,20
Fernandinho,20
Muriqui,20
Pepê,20
Gustavo Gómez,20
Agnaldo,20
Vélber,20
Juan Martín Lucero,20
Leandro Machado,20
Denis Marques,20
Vinicius,20
Yeferson Soteldo,19
Maicosuel,19
Ferreirinha,19
Marcos Guilherme,19
Fernandinho,19
Clayton,19
David Terans,19
Anselmo Ramon,19
Aloisio Chulapa,19
Júlio César,19
Alberto Acosta,19
Preto Casagrande,19
Maximiliano Biancucchi,19
Weldon,19
Manoel,19
Júlio Baptista,19
Rodrigo Tiuí,19
Welliton,19
Matheus Babi,19
Alex Alves,19
Júnior Baiano,19
Márcio Mixirica,19
Nonato,19
Patric,18
Júlio César,18
Renato Augusto,18
Marlone,18
Camilo,18
Madson,18
Madson,18
Elias,18
Souza,18
Renan Oliveira,18
Luan,18
Wellington Nem,18
Durval,18
Iranildo,18
Gum,18
Marcão,18
Claudinho,18
David Braz,18
Gilmar,18
Ronaldo,18
Jonathan Copete,18
Thiago Heleno,18
Rodrigo,18
Marcos Denner,18
Giovanni Augusto,17
Francisco Arce,17
Danilo Barcelos,17
Neto Berola,17
Marcos Júnior,17
Marcinho,17
Geraldo,17
Caio,17
Luis Suárez,17
Juninho,17
Luiz Henrique,17
Bruno César,17
Henrique Pacheco,17
Soares,17
Anselmo,17
Edú Dracena,17
Rómulo Otero,17
Fahel,17
Dedé,17
Moisés,17
Fernandes,17
Nunes,17
Emerson,17
Luan Cândido,17
Wilson,17
Gonzalo Mastriani,17
Maurilio,17
Alessandro,17
Bissoli,17
Marcel,17
Capixaba,17
Kléber,16
Cicinho,16
Lincoln,16
Clarence Seedorf,16
Paulo Isidoro,16
Maicon,16
Rodrigo Lindoso,16
Baiano,16
Valdívia,16
Caio Canedo,16
Bruno Silva,16
Bernardo,16
Ramón,16
Donizete,16
Jóbson,16
Gabriel Jesus,16
Felipe Melo,16
Ricardinho,16
Magrão,16
Rosinei,16
André Dias,16
Renato Ribeiro,16
Diego Clementino,16
Galvão,16
Rômulo,16
Danilo Gomes,16
Léo Gamalho,16
Dejair Ferreira,16
Marquinho,15
Cléber Santana,15
Jorge Valdivia,15
Rafinha,15
Coelho,15
Robert,15
Léo Lima,15
Moisés,15
Felipe Menezes,15
Apodi,15
Vitinho,15
Luiz Araújo,15
Beto,15
Wanderson,15
Freddy Rincón,15
Kayke,15
Miguel Borja,15
